L1DPref;L2DPref;Bench;ipc;SpeedUp;L1DAccuracyTime;L1DAccuracyLate;L1DMPKI;L2CMPKI;LLCMPKI;L1DCoverageTime;L1DCoverageLate
mlop_dpc3;no;bfs-3.trace.gz;0.384;Nan;60.6;62.2;Nan;Nan;Nan;32.7;33.6
mlop_dpc3;no;bfs-8.trace.gz;0.3549;Nan;65.8;67.8;Nan;Nan;Nan;42.0;43.3
mlop_dpc3;no;cc-13.trace.gz;0.2038;Nan;48.4;55.2;Nan;Nan;Nan;0.2;0.3
mlop_dpc3;no;cc-14.trace.gz;0.2287;Nan;21.6;33.6;Nan;Nan;Nan;0.0;0.0
mlop_dpc3;no;cc-5.trace.gz;0.2594;Nan;51.6;57.7;Nan;Nan;Nan;0.2;0.3
mlop_dpc3;no;cc-6.trace.gz;0.1836;Nan;50.6;52.9;Nan;Nan;Nan;0.3;0.3
mlop_dpc3;no;pr-10.trace.gz;0.0665;Nan;53.7;60.4;Nan;Nan;Nan;0.9;1.0
mlop_dpc3;no;pr-14.trace.gz;0.0701;Nan;53.9;61.0;Nan;Nan;Nan;0.9;1.0
mlop_dpc3;no;pr-3.trace.gz;0.0661;Nan;53.4;59.7;Nan;Nan;Nan;1.0;1.2
mlop_dpc3;no;pr-5.trace.gz;0.0687;Nan;55.0;61.4;Nan;Nan;Nan;1.0;1.1
mlop_dpc3;no;sssp-10.trace.gz;0.3483;Nan;21.2;26.4;Nan;Nan;Nan;0.7;0.9
mlop_dpc3;no;sssp-14.trace.gz;0.3475;Nan;15.9;22.5;Nan;Nan;Nan;0.5;0.8
mlop_dpc3;no;sssp-3.trace.gz;0.3466;Nan;14.5;20.5;Nan;Nan;Nan;0.4;0.6
mlop_dpc3;no;sssp-5.trace.gz;0.3489;Nan;21.5;26.6;Nan;Nan;Nan;0.8;1.0
vberti;no;bc-0.trace.gz;0.1663;Nan;82.3;83.2;Nan;Nan;Nan;4.5;4.5
vberti;no;bc-12.trace.gz;0.1516;Nan;84.3;85.5;Nan;Nan;Nan;4.2;4.3
vberti;no;bc-3.trace.gz;0.1997;Nan;81.1;82.1;Nan;Nan;Nan;5.1;5.1
vberti;no;bc-5.trace.gz;0.3329;Nan;80.9;81.8;Nan;Nan;Nan;4.8;4.8
vberti;no;bfs-10.trace.gz;0.3438;Nan;97.9;98.0;Nan;Nan;Nan;35.2;35.3
vberti;no;bfs-14.trace.gz;0.3741;Nan;97.8;98.0;Nan;Nan;Nan;41.0;41.1
